query_uid,page_uid,job_index,Job Title,Company,SERP_title,SERP_description,SERP_url,domain
beefbc6fee,91f7a21546,0,Senior Data Scientist,BaxEnergy,[Hiring] Senior Data Scientist @BaxEnergy,"Jul 09, 2025 - BaxEnergy is hiring a remote Senior Data Scientist. 💸 Salary: $60k-$100k. 📍Location: European timezones.",https://remotive.com/remote-jobs/software-dev/senior-data-scientist-2017883,remotive.com
beefbc6fee,9fadf6b9f7,0,Senior Data Scientist,BaxEnergy,Remote Senior Data Scientist at BaxEnergy,"BaxEnergy creates strategic software solutions for monitoring renewable energy. Our mission is to democratize access to energy and drive positive environmental change. Our team, led by our founder and CEO Simone Massaro, is deeply committed to the ethical impact of our work.",https://weworkremotely.com/remote-jobs/baxenergy-senior-data-scientist,weworkremotely.com
beefbc6fee,413a20729f,0,Senior Data Scientist,BaxEnergy,Data Science Jobs: Big Salaries | DataJobs.com,Learn about high-paying Data Science jobs at great companies looking for talent. DataJobs.com helps you maximize your opportunity.,https://datajobs.com/Data-Science-Jobs,datajobs.com
beefbc6fee,f82ed36b07,0,Senior Data Scientist,BaxEnergy,"Renewable Energy Data Science Jobs, Employment | Indeed","133 Renewable Energy Data Science jobs available on Indeed.com. Apply to Data Scientist, Data Analyst, Ai Training - Energy & Power Specialist and more!",https://www.indeed.com/q-renewable-energy-data-science-jobs.html,www.indeed.com
beefbc6fee,ad30aea5fe,0,Senior Data Scientist,BaxEnergy,BaxEnergy | Remotive.com,"BaxEnergy - Find Remote Work From Home. Let's discover BaxEnergy Careers, we list all remote jobs at BaxEnergy we've seen on Remotive.",https://remotive.com/remote-companies/baxenergy-231906,remotive.com
beefbc6fee,4fecaf58fe,0,Senior Data Scientist,BaxEnergy,BaxEnergy Careers | Wellfound,"Find out if BaxEnergy is the right fit for your future career! Explore jobs, salary, equity, and funding information. Read about work-life balance, perks, benefits, and the company culture!",https://wellfound.com/company/baxenergy-1,wellfound.com
beefbc6fee,ac08c3a4f2,0,Senior Data Scientist,BaxEnergy,"Energy Data Scientist Jobs, Employment | Indeed","396 Energy Data Scientist jobs available on Indeed.com. Apply to Data Scientist, Senior Data Scientist, Staff Scientist and more!",https://www.indeed.com/q-energy-data-scientist-jobs.html,www.indeed.com
beefbc6fee,4cb1c6c237,0,Senior Data Scientist,BaxEnergy,20 Best senior data scientist – renewable energy jobs (Hiring Now!) | SimplyHired,"81 senior data scientist – renewable energy jobs available. See salaries, compare reviews, easily apply, and get hired. New senior data scientist – renewable energy careers are added daily on SimplyHired.com. The low-stress way to find your next senior data scientist – renewable energy ...",https://www.simplyhired.com/search?q=senior+data+scientist+%E2%80%93+renewable+energy,www.simplyhired.com
3dba48a537,7005053b78,1,"Senior Manager, Data Science",DoubleVerify,Himalayas,"As Senior Manager, Data Science at Rockerbox, you will lead and scale our data science team while also contributing as a hands-on practitioner. This role is a player-coach position, balancing leadership responsibilities with direct execution in feature development for testing, MMM, and multi-touch ...",https://himalayas.app/companies/doubleverify/jobs/senior-manager-data-science-rockerbox,himalayas.app
3dba48a537,639cc7cf4d,1,"Senior Manager, Data Science",DoubleVerify,"[Hiring] Senior Manager, Data Science @DoubleVerify","Jul 08, 2025 - DoubleVerify is hiring a remote Senior Manager, Data Science. 💸 Salary: $128,000 - $230,000 plus bonus/commission and equity. 📍Location: USA.",https://remotive.com/remote-jobs/software-dev/senior-manager-data-science-2030933,remotive.com
3dba48a537,657a9cac6d,1,"Senior Manager, Data Science",DoubleVerify,Current Openings - DoubleVerify,"December 18, 2019 - Open Roles Make an impact by solving big problems for the world’s largest companies in this fast moving, high growth marketplace. Be creative and drive innovation that solves complex challenges across new and emerging digital platforms. Own and grow customer relationships to help build a ...",https://doubleverify.com/careers/current-openings/,doubleverify.com
3dba48a537,0ef6f091a6,1,"Senior Manager, Data Science",DoubleVerify,"Senior Manager, Data Platform at DoubleVerify","Apply now for Senior Manager, Data Platform job at DoubleVerify in Tel Aviv-Yafo, Israel. ––– Who we are: DoubleVerify is a big data analytics company, whic...",https://startup.jobs/senior-manager-data-platform-doubleverify-4262915,startup.jobs
3dba48a537,bf74b377aa,1,"Senior Manager, Data Science",DoubleVerify,DoubleVerify Product Manager Jobs | Glassdoor,"16 Doubleverify Product Manager jobs. Search job openings, see if they fit - company salaries, reviews, and more posted by Doubleverify employees.","https://www.glassdoor.com/Jobs/DoubleVerify-Product-Manager-Jobs-EI_IE379389.0,12_KO13,28.htm",www.glassdoor.com
3dba48a537,b73be4cb4a,1,"Senior Manager, Data Science",DoubleVerify,Careers | DoubleVerify,"DoubleVerify authenticates the quality of digital media for the world’s largest brands ensuring viewable, fraud-free, brand-safe ads.",https://d24ca3rrwks2e6.cloudfront.net/careers/,d24ca3rrwks2e6.cloudfront.net
3dba48a537,5a06d454a6,1,"Senior Manager, Data Science",DoubleVerify,Careers - DoubleVerify,"February 5, 2025 - DV powers performance for the world's largest brands, platforms and publishers. We believe this is important work. Why? Because when an ad-supported ecosystem hums, it preserves a free internet for us all. We're looking for the best and the brightest talent, those who stand for one another ...",https://doubleverify.com/careers/,doubleverify.com
3dba48a537,1a8e7da161,1,"Senior Manager, Data Science",DoubleVerify,Jobs at DoubleVerify,Level-up your career by having opportunities at DoubleVerify sent directly to your inbox · Senior Business Development DirectorNew,https://job-boards.greenhouse.io/doubleverify,job-boards.greenhouse.io
71a4792df8,bff5d3cf86,2,Ruby-on-Rails Engineer (Turbo/Stimulus/Hotwire),EverAI,Ruby-on-Rails Engineer (Turbo/Stimulus/Hotwire) - EverAI,,https://remotive.com/remote-jobs/software-dev/ruby-on-rails-engineer-turbo-stimulus-hotwire-2015256,remotive.com
71a4792df8,48e67e9b46,2,Ruby-on-Rails Engineer (Turbo/Stimulus/Hotwire),EverAI,Ruby-on-Rails Engineer (Turbo/Stimulus/Hotwire) (Remote,,https://www.linkedin.com/jobs/view/ruby-on-rails-engineer-turbo-stimulus-hotwire-remote-at-everai-4086486771,www.linkedin.com
71a4792df8,c1efccbf7d,2,Ruby-on-Rails Engineer (Turbo/Stimulus/Hotwire),EverAI,Ruby-on-Rails Engineer (Turbo/Stimulus/Hotwire) (Remote - Worldwide) - EverAI | Built In London,,https://builtinlondon.uk/job/ruby-rails-engineer-turbostimulushotwire-remote/4749436,builtinlondon.uk
71a4792df8,5ca32a3da9,2,Ruby-on-Rails Engineer (Turbo/Stimulus/Hotwire),EverAI,Ruby-on-Rails Engineer (Turbo/Stimulus/Hotwire) (Remote) at EverAI,,https://jobs.rubyonrails.org/jobs/2551-ruby-on-rails-engineer-turbo-stimulus-hotwire-remote-everai,jobs.rubyonrails.org
71a4792df8,ebcb3a9815,2,Ruby-on-Rails Engineer (Turbo/Stimulus/Hotwire),EverAI,Ruby-on-Rails Engineer (Turbo/Stimulus/Hotwire) (Remote) Remote Job at,,https://rubyonremote.com/jobs/66668-ruby-on-rails-engineer-turbo-stimulus-hotwire-remote-at-everai,rubyonremote.com
71a4792df8,e27a50ba20,2,Ruby-on-Rails Engineer (Turbo/Stimulus/Hotwire),EverAI,[Hiring] Ruby-on-Rails Engineer (Turbo/Stimulus/Hotwire) @EverAI,,https://remotive.com/remote/jobs/software-dev/ruby-on-rails-engineer-turbo-stimulus-hotwire-1705141,remotive.com
71a4792df8,d4110baacc,2,Ruby-on-Rails Engineer (Turbo/Stimulus/Hotwire),EverAI,Remote Ruby-on-Rails Engineer (Turbo/Stimulus/Hotwire) at EverAI | Citizen Remote,,https://citizenremote.com/digital-nomad-jobs/everai/ruby-on-rails-engineer-turbostimulushotwire-506165/,citizenremote.com
71a4792df8,094295bfad,2,Ruby-on-Rails Engineer (Turbo/Stimulus/Hotwire),EverAI,Ruby-on-Rails Engineer (Turbo/Stimulus/Hotwire) (Remote - Europe) @ EverAI,,https://jobs.ashbyhq.com/everai/f9e117fa-9136-4ac3-9c14-2f106b97ef2b,jobs.ashbyhq.com
